"tfName","nOperons","nTargets","l2rm_mean","sd_l2r_mean","l2rm_max","sd_l2r_max","l2rm_sum","sd_l2r_sum","l2rm_prod","sd_l2r_prod","l2rm_geom","sd_l2r_geom","mse_mean","mse_max","mse_sum","mse_prod","mse_geom","dominantFunc","dominantFreq","dominantTie","bestGuessMSE","frequencyBestGuessMSE"
"EbgR",1,2,0.170234677564567,0.36302813247426,0.224708333333333,0.362123665550453,1.17023467756457,0.36302813247426,0.158053571428571,0.368782058530178,0.168059523809524,0.364443989640933,0.0638683876530187,0.0667578107797059,1.21847849273266,0.0635526970822423,0.0648677416512023,"prod",0.422619047619048,FALSE,"prod",0.422619047619048
"EnvR",1,2,-0.198498370465331,1.10426227518371,-0.123285714285714,1.09169085544698,0.801501629534669,1.10426227518371,-0.458184523809524,2.20443889866847,-0.204627976190476,1.11044225019091,0.342241701583949,0.367032080425444,2.39125220516638,11.0260311601465,0.342189091242402,"geom",0.511904761904762,FALSE,"geom",0.511904761904762
"EnvY",2,2,-0.398545497874027,0.804032928206334,-0.104333333333333,0.854863743505408,0.601454502125973,0.804032928206334,-1.01104166666667,1.38869903515108,-0.518997023809524,0.703217984996279,12.1701448018585,47.9799444306003,50.4013511275042,123.64395977227,0.963263431717043,"max",0.416666666666667,FALSE,"geom",0.125
"FeaR",2,2,-0.0630507702276262,0.206908903297506,0.0297321428571428,0.224779558631594,0.936949229772374,0.206908903297506,-0.0111011904761905,0.255352911594233,-0.0685595238095238,0.207307090975283,0.0302222861691337,0.0316599253120989,1.02229474727515,0.0405523748569133,0.0308112931416252,"max",0.333333333333333,FALSE,"mean",0.0892857142857143
"FucR",2,7,0.0401425597546125,0.172424873106574,0.276107142857143,0.276961940698322,2.84749748181222,0.172424873106574,-0.248208333333333,1.34640087478387,0.0234447278911565,0.171986746990325,0.0128981990132719,0.0771595237680311,35.5995015993845,0.13933949327082,0.0126638267372296,"geom",0.470238095238095,FALSE,"geom",0.470238095238095
"GalR",5,10,-0.10623272917161,0.294469236221114,0.263166666666667,0.234269885477235,3.21569536571575,0.294469236221114,-0.784803571428571,2.46614504689455,-0.156710714285714,0.46439193080145,0.124723593537041,0.0865127714303294,77.8834081774139,0.413639880956687,0.194843148244266,"mean",0.321428571428571,FALSE,"max",0.31547619047619
"GalS",5,10,-0.104387491076372,0.401523848490648,0.265011904761905,0.357114030801301,3.21754060381099,0.401523848490648,-0.782958333333333,2.48745214946103,-0.154865476190476,0.546778935612659,0.200401240460127,0.085390012110261,77.6282135719989,0.527521063209817,0.28713353848287,"mean",0.404761904761905,FALSE,"max",0.321428571428571
"GatR",1,6,0.0253282618227645,0.250936303555787,0.34339880952381,0.375688974110281,2.61029076254392,0.250936303555787,0.0338809523809522,1.19604849805303,0.00255654761904761,0.23782362188507,0.0405838736348727,0.304254133068398,28.0522397644116,13.1457147605556,0.0322142473964727,"geom",0.458333333333333,FALSE,"geom",0.458333333333333
"GcvA",3,5,0.241080589485706,0.894264879169217,0.828005952380952,1.05803852242459,2.56300868437307,0.894264879169217,0.790047619047619,3.31939208562022,0.0619285714285714,0.770301978046518,0.527142030544281,1.00948633046799,40.7436583905469,89714.765289001,0.552595609752435,"geom",0.404761904761905,FALSE,"mean",0.148809523809524
"GlpR",4,9,0.338258385006108,0.927547939648577,0.684529761904762,1.13719922746248,3.50818338644842,0.927547939648577,0.399107142857143,1.96637403632349,0.269339947089947,0.696690015929332,489.549635231272,38236.7764071981,39930.5410662318,137767989.95357,0.23657617428294,"geom",0.547619047619048,FALSE,"geom",0.547619047619048
"GutM",1,7,-0.0155070146704174,0.297166584785714,0.352303571428571,0.362230659946301,2.79184790738719,0.297166584785714,-0.15139880952381,1.27502182270807,-0.0499702380952381,0.316354341098939,0.0469786877430724,0.168374693014114,37.3092996111006,0.607575259006616,0.0507916621552275,"geom",0.398809523809524,FALSE,"mean",0.166666666666667
"HcaR",2,6,-0.0210284104439624,0.157975801360298,0.245690476190476,0.215994481865114,2.56393409027719,0.157975801360298,0.0382380952380952,0.50692161505456,-0.0399365079365079,0.158947525841808,0.013341370836349,0.0675003694703345,26.2338001265866,0.160070977939647,0.01415740621363,"geom",0.369047619047619,FALSE,"mean",0.232142857142857
"HdfR",2,5,0.783326071373402,1.66398827881737,1.17326785714286,1.68373341395247,3.10525416626076,1.66398827881737,-0.871184523809524,2.86318808457692,0.619234523809524,1.6750965296696,58.3215797227098,57.6364767618838,63.9714280478434,59.8197565595368,58.657752368745,"geom",0.446428571428571,FALSE,"max",0.0773809523809524
"IclR",2,4,0.602654033681155,0.888341884819667,0.899654761904762,1.04753489924054,2.60265403368115,0.888341884819668,0.27597619047619,0.97252671685593,0.513266369047619,0.741315899484999,0.260455524356049,1.13301609897886,12.6682563605004,1.34549074647125,0.119027726880969,"prod",0.56547619047619,FALSE,"geom",0.285714285714286
"IdnR",3,7,-0.0196246035695663,0.100027166502773,0.147577380952381,0.127999836125635,2.78773031848804,0.100027166502773,-0.0627797619047619,0.485167832256252,-0.0261267006802721,0.103921343865277,0.00557557566686724,0.0224099383166998,36.0154591770286,0.108946994601303,0.00605882656468285,"geom",0.339285714285714,FALSE,"mean",0.333333333333333
